"GEO_ID","NAME","P001001"
"id","Geographic Area Name","Total"
"1000000US361090016001101","Block 1101, Block Group 1, Census Tract 16, Tompkins County, New York","41"
"1000000US361090018001025","Block 1025, Block Group 1, Census Tract 18, Tompkins County, New York","0"
"1000000US361090019004010","Block 4010, Block Group 4, Census Tract 19, Tompkins County, New York","17"
"1000000US361090023002061","Block 2061, Block Group 2, Census Tract 23, Tompkins County, New York","22"
"1000000US361090011001005","Block 1005, Block Group 1, Census Tract 11, Tompkins County, New York","0"
"1000000US361090011002003","Block 2003, Block Group 2, Census Tract 11, Tompkins County, New York","123"
"1000000US361090016001095","Block 1095, Block Group 1, Census Tract 16, Tompkins County, New York","67"
"1000000US361090017001052","Block 1052, Block Group 1, Census Tract 17, Tompkins County, New York","47"
"1000000US361090019002000","Block 2000, Block Group 2, Census Tract 19, Tompkins County, New York","12"
"1000000US361090019002053","Block 2053, Block Group 2, Census Tract 19, Tompkins County, New York","61"
"1000000US361090018003004","Block 3004, Block Group 3, Census Tract 18, Tompkins County, New York","5"
"1000000US361090020002050","Block 2050, Block Group 2, Census Tract 20, Tompkins County, New York","0"
"1000000US361090006004088","Block 4088, Block Group 4, Census Tract 6, Tompkins County, New York","0"
"1000000US361090015001004","Block 1004, Block Group 1, Census Tract 15, Tompkins County, New York","112"
"1000000US361090015003046","Block 3046, Block Group 3, Census Tract 15, Tompkins County, New York","16"
"1000000US361090023003029","Block 3029, Block Group 3, Census Tract 23, Tompkins County, New York","3"
"1000000US361090013005007","Block 5007, Block Group 5, Census Tract 13, Tompkins County, New York","36"
"1000000US361090014002039","Block 2039, Block Group 2, Census Tract 14, Tompkins County, New York","27"
"1000000US361090011003017","Block 3017, Block Group 3, Census Tract 11, Tompkins County, New York","0"
"1000000US361090023001069","Block 1069, Block Group 1, Census Tract 23, Tompkins County, New York","132"
"1000000US361090010001083","Block 1083, Block Group 1, Census Tract 10, Tompkins County, New York","0"
"1000000US361090018001026","Block 1026, Block Group 1, Census Tract 18, Tompkins County, New York","2"
"1000000US361090020001018","Block 1018, Block Group 1, Census Tract 20, Tompkins County, New York","52"
"1000000US361090006004090","Block 4090, Block Group 4, Census Tract 6, Tompkins County, New York","0"
"1000000US361090010003029","Block 3029, Block Group 3, Census Tract 10, Tompkins County, New York","0"
"1000000US361090001001029","Block 1029, Block Group 1, Census Tract 1, Tompkins County, New York","139"
"1000000US361090005001014","Block 1014, Block Group 1, Census Tract 5, Tompkins County, New York","51"
"1000000US361090018003011","Block 3011, Block Group 3, Census Tract 18, Tompkins County, New York","5"
"1000000US361090004001009","Block 1009, Block Group 1, Census Tract 4, Tompkins County, New York","85"
"1000000US361090010001068","Block 1068, Block Group 1, Census Tract 10, Tompkins County, New York","0"
"1000000US361090020001021","Block 1021, Block Group 1, Census Tract 20, Tompkins County, New York","0"
"1000000US361090020002035","Block 2035, Block Group 2, Census Tract 20, Tompkins County, New York","51"
"1000000US361090023002053","Block 2053, Block Group 2, Census Tract 23, Tompkins County, New York","20"
"1000000US361090023002082","Block 2082, Block Group 2, Census Tract 23, Tompkins County, New York","0"
"1000000US361090011003048","Block 3048, Block Group 3, Census Tract 11, Tompkins County, New York","48"
"1000000US361090021003040","Block 3040, Block Group 3, Census Tract 21, Tompkins County, New York","0"
"1000000US361090006004049","Block 4049, Block Group 4, Census Tract 6, Tompkins County, New York","0"
"1000000US361090008001055","Block 1055, Block Group 1, Census Tract 8, Tompkins County, New York","31"
"1000000US361090008001056","Block 1056, Block Group 1, Census Tract 8, Tompkins County, New York","45"
"1000000US361090019001064","Block 1064, Block Group 1, Census Tract 19, Tompkins County, New York","38"
"1000000US361090019004012","Block 4012, Block Group 4, Census Tract 19, Tompkins County, New York","26"
"1000000US361090023003057","Block 3057, Block Group 3, Census Tract 23, Tompkins County, New York","4"
"1000000US361090005003022","Block 3022, Block Group 3, Census Tract 5, Tompkins County, New York","0"
"1000000US361090008001036","Block 1036, Block Group 1, Census Tract 8, Tompkins County, New York","0"
"1000000US361090017003040","Block 3040, Block Group 3, Census Tract 17, Tompkins County, New York","9"
"1000000US361090006004004","Block 4004, Block Group 4, Census Tract 6, Tompkins County, New York","0"
"1000000US361090016003022","Block 3022, Block Group 3, Census Tract 16, Tompkins County, New York","0"
"1000000US361090019001055","Block 1055, Block Group 1, Census Tract 19, Tompkins County, New York","58"
"1000000US361090020003018","Block 3018, Block Group 3, Census Tract 20, Tompkins County, New York","29"
"1000000US361090023003072","Block 3072, Block Group 3, Census Tract 23, Tompkins County, New York","0"
"1000000US361090005003003","Block 3003, Block Group 3, Census Tract 5, Tompkins County, New York","56"
"1000000US361090015003015","Block 3015, Block Group 3, Census Tract 15, Tompkins County, New York","0"
"1000000US361090018002026","Block 2026, Block Group 2, Census Tract 18, Tompkins County, New York","60"
"1000000US361090019003063","Block 3063, Block Group 3, Census Tract 19, Tompkins County, New York","10"
"1000000US361090022003001","Block 3001, Block Group 3, Census Tract 22, Tompkins County, New York","0"
"1000000US361090008002014","Block 2014, Block Group 2, Census Tract 8, Tompkins County, New York","12"
"1000000US361090009003048","Block 3048, Block Group 3, Census Tract 9, Tompkins County, New York","0"
"1000000US361090010001075","Block 1075, Block Group 1, Census Tract 10, Tompkins County, New York","31"
"1000000US361090019001020","Block 1020, Block Group 1, Census Tract 19, Tompkins County, New York","58"
"1000000US361090021001008","Block 1008, Block Group 1, Census Tract 21, Tompkins County, New York","0"
"1000000US361090023001070","Block 1070, Block Group 1, Census Tract 23, Tompkins County, New York","21"
"1000000US361090019003061","Block 3061, Block Group 3, Census Tract 19, Tompkins County, New York","0"
"1000000US361090021003022","Block 3022, Block Group 3, Census Tract 21, Tompkins County, New York","188"
"1000000US361090006004032","Block 4032, Block Group 4, Census Tract 6, Tompkins County, New York","14"
"1000000US361090017003019","Block 3019, Block Group 3, Census Tract 17, Tompkins County, New York","6"
"1000000US361090019001027","Block 1027, Block Group 1, Census Tract 19, Tompkins County, New York","0"
"1000000US361090020003011","Block 3011, Block Group 3, Census Tract 20, Tompkins County, New York","13"
"1000000US361090019002046","Block 2046, Block Group 2, Census Tract 19, Tompkins County, New York","39"
"1000000US361090021002055","Block 2055, Block Group 2, Census Tract 21, Tompkins County, New York","2"
"1000000US361090022001055","Block 1055, Block Group 1, Census Tract 22, Tompkins County, New York","14"
"1000000US361090023003056","Block 3056, Block Group 3, Census Tract 23, Tompkins County, New York","4"
"1000000US361090021001010","Block 1010, Block Group 1, Census Tract 21, Tompkins County, New York","8"
"1000000US361090017001000","Block 1000, Block Group 1, Census Tract 17, Tompkins County, New York","2"
"1000000US361090021001004","Block 1004, Block Group 1, Census Tract 21, Tompkins County, New York","15"
"1000000US361090006001011","Block 1011, Block Group 1, Census Tract 6, Tompkins County, New York","35"
"1000000US361090006003003","Block 3003, Block Group 3, Census Tract 6, Tompkins County, New York","15"
"1000000US361090006002024","Block 2024, Block Group 2, Census Tract 6, Tompkins County, New York","0"
"1000000US361090006004047","Block 4047, Block Group 4, Census Tract 6, Tompkins County, New York","0"
"1000000US361090016001026","Block 1026, Block Group 1, Census Tract 16, Tompkins County, New York","0"
"1000000US361090017001054","Block 1054, Block Group 1, Census Tract 17, Tompkins County, New York","0"
"1000000US361090017002023","Block 2023, Block Group 2, Census Tract 17, Tompkins County, New York","51"
